Unnamed: 0,data,valor,retorno,valor_atual
8003,2018-05-14,0.0002462,0.0,51158.20597663482
8004,2018-05-15,0.0002462,0.0,51170.801126946266
8005,2018-05-16,0.0002462,0.0,51183.39937818373
8006,2018-05-17,0.0002462,0.0,51196.00073111064
8007,2018-05-18,0.0002462,0.0,51208.60518649064
8008,2018-05-21,0.0002462,0.0,51221.212745087556
8009,2018-05-22,0.0002462,0.0,51233.823407665404
8010,2018-05-23,0.0002462,0.0,51246.43717498838
8011,2018-05-24,0.0002462,0.0,51259.054047820864
8012,2018-05-25,0.0002462,0.0,51271.674026927445
8013,2018-05-28,0.0002462,0.0,51284.29711307288
8014,2018-05-29,0.0002462,0.0,51296.923307022116
8015,2018-05-30,0.0002462,0.0,51309.55260954031
8016,2018-06-01,0.0002462,0.0,51322.18502139278
8017,2018-06-04,0.0002462,0.0,51334.82054334506
